eventid,objectid,clock,object,acknowledged,value,source,ns
128,13470,1449827735,0,0,0,0,436915609
127,13470,1449827195,0,0,1,0,235618715
126,13470,1449824135,0,0,0,0,165439000
125,13470,1449823595,0,0,1,0,967538867
124,13470,1449820535,0,0,0,0,849339655
123,13470,1449819995,0,0,1,0,402968802
122,13586,1449819028,0,1,1,0,368248770
121,13585,1449819027,0,0,1,0,371335259
120,13584,1449818963,0,0,0,0,353270670
119,13557,1449818819,0,0,1,0,297593710
118,13583,1449818785,0,0,1,0,283283201
117,13557,1449818549,0,0,0,0,205646617
116,13557,1449800622,0,1,1,0,232242762
115,13564,1449792167,0,0,0,0,389234352
114,13564,1449792084,0,0,1,0,247511555
113,13564,1449747912,0,0,0,0,150427575
112,13564,1449747577,0,0,1,0,267223407
111,13486,1449478071,0,0,0,0,766663812
93,13490,1449477836,0,0,0,0,686839589
92,13489,1449477835,0,0,0,0,686479303
91,13488,1449477834,0,0,0,0,686216116
90,13487,1449477833,0,0,0,0,685964128
87,13485,1449477830,0,0,0,0,685468486
86,13484,1449477829,0,0,0,0,684933408
85,13483,1449477828,0,0,0,0,684480894
82,13481,1449477826,0,0,0,0,683754056
81,13480,1449477825,0,0,0,0,683456674
80,13479,1449477824,0,0,0,0,683121009
76,13475,1449477820,0,0,1,0,682113094
73,13075,1449477820,0,0,0,0,682138411
75,13474,1449477819,0,0,0,0,681649156
74,13473,1449477818,0,0,0,0,681404946
70,13472,1449477817,0,0,0,0,681085058
69,13471,1449477816,0,0,0,0,680815665
68,13470,1449477815,0,0,0,0,680541610
67,13469,1449477814,0,0,0,0,679631696
66,13468,1449477813,0,0,0,0,679393930
65,13467,1449477812,0,0,0,0,679151024
64,13557,1449307403,0,1,0,0,15003568
63,13562,1449307396,0,0,0,0,99020177
62,13562,1449307343,0,0,1,0,241350771
61,13557,1449307333,0,1,1,0,500378703
60,13557,1449306720,0,1,0,0,236509013
59,13557,1449306514,0,1,1,0,100102495
58,13557,1449306285,0,1,0,0,696297055
57,13557,1449306264,0,1,1,0,626765034
56,13557,1449234772,0,1,0,0,959622058
55,13557,1449233251,0,1,1,0,298596122
54,13557,1449220239,0,1,0,0,439680872
53,13557,1449219195,0,1,1,0,77247683
52,13557,1449218781,0,1,0,0,415099595
51,13557,1449218712,0,1,1,0,333962807
49,13567,1449217830,0,0,1,0,539678656
47,13557,1449217043,0,1,0,0,524627481
46,13557,1449217011,0,1,1,0,417670161
45,13557,1449208290,0,1,0,0,84208297
44,13557,1449207330,0,1,1,0,917033964
43,13557,1449198680,0,1,0,0,572245528
42,13557,1449198620,0,1,1,0,563919466
41,13557,1449198440,0,1,0,0,536261412
40,13557,1449198140,0,1,1,0,489345382
39,13557,1449195740,0,1,0,0,126768398
38,13557,1449195680,0,1,1,0,117244389
37,13557,1449195320,0,1,0,0,60039224
36,13557,1449195260,0,1,1,0,50751706
35,13557,1449194840,0,1,0,0,989335503
34,13557,1449194780,0,1,1,0,978463826
33,13557,1449194600,0,1,0,0,937240956
32,13557,1449194540,0,1,1,0,928291193
31,13557,1449194000,0,1,0,0,842414143
30,13557,1449193940,0,1,1,0,833425907
29,13557,1449193520,0,1,0,0,763997429
28,13557,1449193460,0,1,1,0,754020652
27,13557,1449145460,0,1,0,0,43933142
26,13557,1449144080,0,1,1,0,484920497
25,13557,1449140120,0,1,0,0,199320711
24,13557,1449131840,0,1,1,0,483984165
23,13557,1449131540,0,1,0,0,434659338
22,13557,1449131420,0,1,1,0,416588141
21,13557,1449130520,0,1,0,0,265058717
20,13557,1449129680,0,1,1,0,120096309
19,13557,1449129320,0,1,0,0,59386528
18,13557,1449129020,0,1,1,0,9466264
17,13557,1449128720,0,1,0,0,388760305
16,13557,1449128600,0,1,1,0,371591361
15,13557,1449128000,0,1,0,0,279223381
14,13557,1449127820,0,1,1,0,251377841
13,13565,1449044280,0,0,1,0,888209613
12,13564,1449043862,0,0,0,0,870534396
11,13563,1449043862,0,0,0,0,870534396
10,13562,1449043862,0,0,0,0,870534396
8,13560,1449043800,0,0,1,0,805791502
7,13557,1449043700,0,1,0,0,909085943
3,13557,1449043520,0,1,1,0,880938748
2,13562,1449043502,0,1,1,0,704551881
